preco_venda,tipo_imovel,bairro_quadra,area_util,quartos,suites,vagas,valor_condominio
4200000.0,1,13,450.0,4.0,4,4,0.0
1590000.0,1,5,320.0,4.0,3,2,695.0
1100000.0,1,5,280.0,4.0,1,2,695.0
1380000.0,1,5,380.0,5.0,4,2,890.0
1800000.0,1,5,550.0,4.0,4,0,0.0
1795000.0,1,5,300.0,4.0,4,0,795.0
1730000.0,1,5,422.0,4.0,1,2,0.0
1190000.0,1,5,230.0,4.0,2,2,695.0
1295000.0,1,5,327.0,4.0,4,2,0.0
1500000.0,1,5,352.0,4.0,4,2,695.0
790000.0,1,5,206.0,4.0,4,6,795.0
2950000.0,1,5,358.0,4.0,3,2,800.0
1950000.0,1,5,430.0,4.0,4,2,0.0
1295000.0,1,5,380.0,4.0,3,2,0.0
1850000.0,1,5,250.0,4.0,4,2,700.0
1480000.0,1,5,450.0,4.0,4,3,920.0
1690000.0,1,5,400.0,4.0,2,2,920.0
1590000.0,1,5,360.0,4.0,4,2,695.0
1490000.0,1,5,230.0,4.0,4,2,695.0
1550000.0,1,5,300.0,4.0,2,3,650.0
1500000.0,1,5,250.0,4.0,4,2,895.0
1450000.0,1,5,320.0,4.0,3,2,0.0
2900000.0,1,5,545.0,4.0,3,4,0.0
1600000.0,1,5,263.0,4.0,1,4,557.0
2900000.0,1,5,545.0,4.0,3,4,700.0
1999000.0,1,5,470.0,4.0,4,1,0.0
1800000.0,1,5,640.0,5.0,5,3,0.0
2950000.0,1,5,440.45,4.0,4,4,895.0
2950000.0,1,5,460.0,4.0,4,2,600.0
1800000.0,1,5,550.0,4.0,4,4,660.0
1440000.0,1,5,360.0,4.0,3,4,0.0
2100000.0,1,5,420.0,4.0,4,0,0.0
2950000.0,1,5,440.0,4.0,3,4,250.0
1480000.0,1,5,412.0,4.0,4,0,0.0
1390000.0,1,5,300.0,4.0,4,0,0.0
1795000.0,1,5,350.0,4.0,4,4,795.0
1300000.0,1,5,400.0,5.0,4,2,920.0
800000.0,1,5,207.0,4.0,4,3,750.0
1800000.0,1,5,480.0,6.0,6,5,665.0
997000.0,1,5,330.0,4.0,2,2,450.0
995000.0,1,5,335.0,4.0,2,2,550.0
995000.0,1,5,286.0,4.0,2,6,450.0
4900000.0,1,5,420.0,4.0,4,3,2074.0
2100000.0,1,5,800.0,4.0,1,4,900.0
2600000.0,1,5,400.0,4.0,4,4,1000.0
1690000.0,1,5,361.0,4.0,4,2,1290.0
1980000.0,1,5,354.0,4.0,4,2,985.0
1690000.0,1,5,361.0,4.0,4,2,1290.0
2500000.0,1,5,450.0,4.0,4,2,1100.0
2400000.0,1,5,300.0,4.0,4,3,0.0
1880000.0,1,5,360.0,4.0,4,2,1000.0
4950000.0,1,5,350.0,4.0,4,2,0.0
995000.0,1,5,290.0,4.0,2,1,550.0
995000.0,1,5,290.0,4.0,2,2,0.0
1400000.0,1,5,480.0,4.0,4,2,650.0
1390000.0,1,5,350.0,4.0,3,4,845.0
2490000.0,1,5,445.0,5.0,3,2,720.0
1080000.0,1,5,200.0,4.0,1,2,0.0
1600000.0,1,5,350.0,4.0,4,3,0.0
550000.0,1,5,180.0,4.0,1,2,695.0
2350000.0,1,5,550.0,4.0,3,3,772.0
1900000.0,1,5,470.0,4.0,2,2,0.0
2750000.0,1,5,515.0,4.0,1,4,700.0
1150000.0,1,5,370.0,4.0,1,2,700.0
1980000.0,1,5,598.0,4.0,4,4,700.0
1200000.0,1,5,540.0,4.0,2,3,700.0
1295000.0,1,5,474.0,4.0,3,4,700.0
1900000.0,1,5,445.0,4.0,4,2,0.0
2700000.0,1,5,395.0,4.0,4,2,675.0
1200000.0,1,5,550.0,4.0,2,3,645.0
3489000.0,1,5,741.0,4.0,4,4,600.0
1600000.0,1,5,346.0,5.0,3,2,850.0
1400000.0,1,5,416.0,4.0,2,4,700.0
1350000.0,1,5,400.0,4.0,4,3,560.0
1500000.0,1,5,416.0,4.0,3,4,460.0
890000.0,1,5,230.0,4.0,4,4,210.0
2850000.0,1,5,500.0,4.0,4,4,450.0
1670000.0,1,5,370.0,4.0,4,2,600.0
2280000.0,1,5,307.0,4.0,4,3,897.0
2280000.0,1,5,300.0,4.0,3,2,873.0
2200000.0,1,5,343.0,4.0,4,2,965.0
1980000.0,1,5,420.0,4.0,3,4,470.0
2900000.0,1,5,330.0,4.0,4,2,640.0
1490000.0,1,5,313.53,4.0,1,3,0.0
1780000.0,1,5,700.0,5.0,2,4,0.0
1849000.0,1,5,400.0,4.0,3,4,500.0
1380000.0,1,5,445.0,4.0,2,2,0.0
1900000.0,1,5,500.0,4.0,3,0,880.0
1980000.0,1,5,400.0,4.0,3,4,470.0
1300000.0,1,5,445.0,4.0,2,2,0.0
1850000.0,1,5,400.0,4.0,1,2,480.0
1900000.0,1,5,700.0,4.0,2,0,0.0
650000.0,1,5,200.0,5.0,4,2,262.0
1500000.0,1,5,450.0,6.0,6,4,0.0
2850000.0,1,5,500.0,4.0,4,4,450.0
1490000.0,1,5,400.0,4.0,4,2,0.0
2750000.0,1,5,380.0,4.0,3,4,0.0
1450000.0,1,5,365.0,4.0,2,4,600.0
2780000.0,1,5,430.0,5.0,5,4,600.0
1450000.0,1,5,365.0,4.0,2,4,0.0
2199000.0,1,5,355.0,5.0,4,4,700.0
1450000.0,1,5,365.0,4.0,2,0,0.0
1669000.0,1,5,370.0,4.0,4,4,600.0
1200000.0,1,5,271.0,4.0,2,3,748.0
1690000.0,1,5,331.0,5.0,4,4,0.0
1690000.0,1,5,300.0,4.0,3,2,697.0
1600000.0,1,5,350.0,4.0,3,4,0.0
2290000.0,1,5,250.0,4.0,3,2,650.0
2100000.0,1,5,350.0,4.0,4,4,700.0
3200000.0,1,5,404.42,7.0,5,4,600.0
2290000.0,1,5,257.15,4.0,3,2,0.0
1100000.0,1,5,271.0,4.0,2,0,749.0
2550000.0,1,5,400.0,4.0,3,2,550.0
3200000.0,1,5,450.0,7.0,5,4,650.0
1200000.0,1,5,450.0,5.0,1,2,800.0
1450000.0,1,5,500.0,4.0,1,2,0.0
1650000.0,1,5,367.0,5.0,3,2,640.0
1390000.0,1,5,510.0,5.0,5,4,815.0
1290000.0,1,5,300.0,4.0,1,4,815.0
1980000.0,1,5,500.0,4.0,3,4,760.0
990000.0,1,5,400.0,4.0,2,3,800.0
1590000.0,1,5,410.0,4.0,4,2,750.0
1490000.0,1,5,400.0,4.0,4,4,800.0
1690000.0,1,5,500.0,5.0,5,4,1075.0
2490000.0,1,5,450.0,5.0,3,6,1400.0
3125000.0,1,5,660.0,4.0,4,10,1200.0
1395000.0,1,5,370.0,4.0,3,2,560.0
1550000.0,1,5,417.03,4.0,4,0,700.0
1950000.0,1,5,360.0,4.0,1,2,1100.0
1350000.0,1,5,373.0,4.0,1,8,845.0
1600000.0,1,5,380.0,5.0,5,4,0.0
1650000.0,1,5,367.0,4.0,1,3,600.0
1600000.0,1,5,380.0,5.0,5,4,909.0
1199000.0,1,5,321.0,4.0,3,2,0.0
1590000.0,1,5,400.0,4.0,4,2,865.0
1480000.0,1,5,354.2,4.0,1,4,0.0
2250000.0,1,5,475.0,4.0,2,6,0.0
2250000.0,1,5,490.0,4.0,2,3,815.0
1390000.0,1,5,503.0,5.0,5,2,1075.0
1700000.0,1,5,400.0,4.0,1,4,0.0
979000.0,1,5,360.0,4.0,3,3,880.0
1590000.0,1,5,370.0,4.0,3,3,0.0
1490000.0,1,5,400.0,5.0,4,2,800.0
1490000.0,1,5,400.0,4.0,4,8,800.0
1490000.0,1,5,400.0,4.0,4,2,0.0
1490000.0,1,5,400.0,4.0,4,2,800.0
1300000.0,1,5,477.0,5.0,1,2,900.0
1400000.0,1,5,475.66,4.0,4,2,1125.0
2250000.0,1,5,432.0,4.0,2,2,800.0
1550000.0,1,5,410.0,4.0,2,4,815.0
1490000.0,1,5,400.0,4.0,4,4,800.0
1490000.0,1,5,400.0,4.0,4,2,800.0
4950000.0,1,5,350.0,4.0,4,2,0.0
2480000.0,1,5,420.0,5.0,2,4,885.0
2797000.0,1,5,350.0,4.0,4,0,1000.0
950000.0,1,5,240.0,4.0,4,2,0.0
975000.0,1,5,403.0,6.0,3,2,0.0
1100000.0,1,5,200.0,4.0,2,4,395.0
1100000.0,1,5,200.0,4.0,2,2,500.0
650000.0,1,5,200.0,5.0,1,2,460.0
648000.0,1,5,200.0,4.0,1,4,360.0
650000.0,1,5,200.0,5.0,1,4,0.0
650000.0,1,5,200.0,4.0,1,0,0.0
1890000.0,1,5,400.0,7.0,4,2,540.0
895000.0,1,5,375.0,4.0,2,6,464.0
2100000.0,1,5,400.0,4.0,3,3,400.0
1200000.0,1,5,300.0,7.0,6,4,505.0
2550000.0,1,5,600.0,4.0,4,5,430.0
1200000.0,1,5,419.0,5.0,3,3,0.0
1290000.0,1,5,440.0,4.0,4,5,601.0
1800000.0,1,5,450.0,4.0,4,0,783.0
2100000.0,1,5,600.0,4.0,4,6,550.0
1698000.0,1,5,326.0,4.0,4,2,0.0
1650000.0,1,5,230.0,4.0,3,2,1000.0
2590000.0,1,5,400.0,4.0,1,2,584.0
2200000.0,1,5,480.0,5.0,5,6,1400.0
